"idx","description"
486,"Vermouth Cinzano, weiß"
487,"Schwendenpunsch"
488,"Vermouth Cinzano, rot"
489,"Campari "
490,"Sherry"
491,"Port"
492,"Vermouth, franz."
493,"Dubonnet"
494,"Texier X.O."
495,"Cherry Brandy"
496,"Gin"
497,"Himbergeist"
498,"Wodka "
499,"Apricot"
500,"Blackberry Brandy"
501,"Curacao"
502,"Mocca Likör"
503,"Creme de Ananas"
504,"Boonekamp"
505,"Creme de Noyaux"
506,"Creme de Bananas"
507,"Haig and Haig, Simple Scots"
508,"Martell Cordon Bleu"
509,"Sekt"
510,"Ginger Ale"
511,"Mocca"
512,"Deutsch. Weinbrand"
513,"Creme de Menthe"
514,"Creme de Cacao"
515,"Creme de Vanille"
516,"Le Saumon fumé - Räucherlachs"
517,"Le Cocktail de homard - Hummercocktail"
518,"Pâté de foie de volaille en croûte"
519,"Geflügelleberpastete"
520,"Le jambon fumé de Westphalie - Katenschinken"
521,"Les Galantines de Paris - Galantinen"
522,"Les Rillettes de Tours"
523,"Les Huîtres Imperial"
524,"Les Belons"
525,"Les Portugaises"
526,"Le Soufflé savoyard - Käseauflauf"
527,"Les Croûtes aux champignons"
528,"à la bordelaise"
529,"Les escargots des vignes de Bourgogne"
530,"Weinbergschnecken"
531,"Les Queues de langoustines à la nantua - Langustinen in Krebssoße"
532,"Le Turbot poché au court-bouillon, Sc. Hollandaise - Steinbutt"
533,"La Matelotte d'anguille au grand crû de Bourgogne - Aalgericht"
534,"La Truite aux amandes à la Chambart - Forelle mit Mandeln"
535,"La Danseuse de rivière à la crème - Forelle in Sahne"
536,"Les Quenelles de brochet à la lyonnaise - Hechtklöße"
537,"Les Coquilles St. Jacques - Feines Seemuschelgericht"
538,"La Bouillabaisse mode maison"
539,"Les Homards et Crustacés"
540,"La Soupe à l'oignon gratinée"
541,"La Creme St. Germain"
542,"Le Velouté de volaile à la reine"
543,"L'Oxtail clair"
544,"L'Omelette ""Agnes Sorel"""
545,"Les Ouefs pochés à la ""Mornay"""
546,"Le Poulet de Lorraine"
547,"Lothringer Hähnchen"
548,"La Pularde de Bresse à la mère"
549,"Fillioux-Poularden"
550,"Médaillon de chevreuil"
551,"à la Liegeoise - Rehnüsschen"
552,"Médaillon de ris de veau à la Perigourdine"
553,"Kalbsbries"
554,"Cervelle de veau frite à l'Orly - Kalbshirn"
555,"Fête de veau de gribiche - Kalbskopf"
556,"Le Foie veau bonne normande - Kalbsleber"
557,"Les Tournedos sur canapé à la fine mousse d'Alsace"
558,"L'Entrecôte grillé Maître d'Hôtel"
559,"L'Entrecôte marchand de vin"
560,"Médaillon de veau grand mère"
561,"Côtelettes de pré salé grillées Bretonne - Hammelkotelette"
562,"Les Grenadins de porc sautes à la strasbourgeoise"
563,"Schweinelendchen"
564,"Les Tournedos sautes Henri IV"
565,"La Terrine de liévre - Hase in der Terrine"
566,"La petite Quiche Lorraine - Lothringer Käsetartalett"
567,"La Soupe aux moules - Creme von Meeresmuscheln"
568,"L'Omelette Languedoc - Leicht und exquisit"
569,"Les Noisettes de veau du Parc - Kalbsnüsschen"
570,"Les Filets de sole Madame Yves - Seezungenfilet gefüllt"
571,"Les Rognons de veau Beaujé - Kalbsnieren am Tisch flambiert"
572,"Le Steak au poivre flambé au parfum des Charentes - Pfeffersteak"
573,"Le Poulet au Polignac - Hähnchen am Tisch flambiert"
574,"L'Omelette mousseline a Grand Marnier"
575,"Le Parfait glacé - Café Kirsch"
576,"Fürst Pückler mit Kirsch"
577,"La Merinque glacée Chantilly"
578,"La Poire ""Belle Helene"""
579,"Saint-Honoré"
580,"Les Fruits rafraichis aux liqueurs"
581,"Pain de Gênes"
582,"Les Crépes suzettes"
583,"La Creme Caramel"
584,"La Pêche Melba"
585,"Le Fromages de France - Le Fruits de saison"
586,"Consomme mit Ei"
587,"Tagessuppe"
588,"echte Schildkrötensuppe „Lacroix“"
589,"Lady Curzon "
590,"Königinpastetchen (10 Min.)"
591,"Scampi in feinen Kräutern (10 Min.)"
592,"1 Paar „Grossmann“ Delikateß-Saftwürstchen"
593,"Theater-Sandwiches nach Wahl (2 Stück)"
594,"Strammer Max"
595,"Roastbeef-Club-Sandwich"
596,"Huhn-Club-Sandwich „Opera“"
597,"Smörrebred von Aal mit Rührei"
598,"Schinkenhägerbrett"
599,"Cocktailhappen „Feinschmeckerart“ (5 Stück)"
600,"geräuchertes Forellenfilet mit Toast u. Butter"
601,"Hamburger Räucheraal m. Apfelkren u. Rührei"
602,"Langustinensalat mit Toast und Butter"
603,"rischer Edelräucherlachs mit Sahnemeerrettich"
604,"mit Toast und Butter"
605,"Verschiedene Salate „Lucullus“"
606,"gefüllte Eier garniert auf Salat"
607,"Bauernteller auf Holzofenbrot"
608,"Salaten"
609,"Melone oder Spargelspitzen"
610,"Pariser Zunge mit feinem Salat"
611,"Kaiserfleisch mit Mixed Pickles "
612,"Hühnerkeule „Feinschmeckerart“"
613,"Schweinebraten mit Spargel und"
614,"verschiedenen Salaten"
615,"Kalbsbraten mit pikanten Beilagen"
616,"oder Salaten"
617,"Bündnerfleisch mit Apfelkren"
618,"Diätteller"
619,"Geflügelbrust mit Spargelspitzen"
620,"Holsteiner Katenrauchschinken „Feine Art“"
621,"mit Schwarzbrot "
622,"frischer Hummer, Edelräucherlachs, Gänseleber"
623,"pikant garniert"
624,"Spezial-Opernteller"
625,"zusätzlich mit Malossol-Caviar"
626,"frischer Hummer"
627,"warm oder kalt auf Wunsch"
628,"Original geeister Schipp-Malossol-Caviar "
629,"auf Toast und Butter"
630,"Original Straßburger Gänseleber-Terrine . . "
631,"Getrüffelte Gänseleber-Parfait-Scheiben"
632,"für 2 Personen mit Toast und Butter"
633,"Joghurt mit Früchten der Saison"
634,"Fruchtsalat aus frischen Früchten mit"
635,"Wiener Apfelstrudel mit Vanillesauce"
636,"frische Ananas mit Sahne"
