"idx","Name","Straße","Hausnummer","PLZ","Stadtteil","Stadt","Bundesland","Land","URL","Eröffnung","Schließung","Breitengrad","Längengrad","Qualität","Präzision"
95,"Platzl","Münzstr.","9",,"Bezirksteil Graggenau","München","Bayern","Germany",,"vor 1900","1995 [?]","48.1375985","11.5795948","residential","0.2"
96,"Post, Gasthof zur, Pasing","Bodenseestr.","4","81241","Bezirksteil Pasing","München","Bayern","Germany","https://www.hotelzurpost-muenchen.de/Startseite.61423.html?id=61423","vor 1955","2014 [?]","48.1469708","11.4591318","sports_centre","0.321"
97,"Pschorrbräu-Bierhallen","Neuhauserstr.","11-12","80331","Bezirksteil Kreuzviertel","München","Bayern","Germany",,"1820","1945","48.1389272","11.5674401","pedestrian","0.31"
98,"Quisisana, Vegetarische Gaststätte und Café",,,"82067","null","null","Bayern","Germany",,"vor 1910","ja","47.9713489","11.4642809242","postcode","0.435"
99,"Ratskeller, München","Marienplatz","8","80331","Bezirksteil Angerviertel","München","Bayern","Germany","https://www.ratskeller.com/","1874",,"48.1373725","11.5760904","bar","0.331"
100,"Regina Palast Hotel","Maximiliansplatz","5","80333","Stadtbezirk 03 Maxvorstadt","München","Bayern","Germany","https://de.wikipedia.org/wiki/Regina-Palast-Hotel","1908","1975","48.1423719","11.5704663","insurance","0.331"
101,"Reichshof, Hotel","Sonnenstr./Wörthstr. 17?","15","80331",,"München","Bayern","Germany",,"vor 1900","ja","48.152126","11.544467",,"0.15"
102,"Reinhof-Gaststätten und Bierstuben, im Hotel Reinischer Hof","Bayerstr.","21","80335","Bezirksteil Ludwigsvorstadt-Kliniken","München","Bayern","Germany",,"vor 1945","1984 [?]","48.1392227","11.5615091","house","0.321"
103,"Ringelnatz, Café","Haimhauserstr.","8","80802","Bezirksteil Münchner Freiheit","München","Bayern","Germany","http://www.ringelnatz.com/",,"2015","48.1622809","11.5888971","restaurant","0.321"
104,"Rischart's Backhaus, Café","Marienplatz","18","80331","Bezirksteil Angerviertel","München","Bayern","Germany","https://www.rischart.de/filialen/geschaefte/","vor 1970",,"48.1367968","11.5762347","cafe","0.331"
105,"Roter Hahn, Hotel-Restaurant","Karlsplatz","11-12","80335","Bezirksteil Kreuzviertel","München","Bayern","Germany",,"vor 1900","ja","48.1394316","11.5657564","secondary","0.32"
106,"Rutsch'n, Wiener","Hohenzollernstr.","44","80801","Bezirksteil Schwabing-Ost","München","Bayern","Germany",,"vor 1961","ja","48.1601185","11.5797362","house","0.321"
107,"Sängerwarte, Gaststätte","Pettenkoferstr.","48","80336","Bezirksteil St. Paul","München","Bayern","Germany","http://speiselokal-lenz.de/","vor 1920",,"48.1353315","11.5532953","restaurant","0.321"
108,"Schelling-Salon","Barerstr.","43",,"Stadtbezirk 03 Maxvorstadt","München","Bayern","Germany","http://www.schelling-salon.de/","1872",,"48.15136","11.5732414358","yes","0.111"
109,"Schelling-Salon, Wiener Café und Restaurant","Barerstr.","43",,"Stadtbezirk 03 Maxvorstadt","München","Bayern","Germany","http://www.schelling-salon.de/","1872",,"48.15136","11.5732414358","yes","0.111"
